Time resolution is 1 ps
WRITE :           0 at time                35000
WRITE :           1 at time                55000
WRITE :           2 at time                75000
WRITE :           3 at time                95000
WRITE :           4 at time               115000
WRITE :           5 at time               135000
READ  :   0 at time               147000
WRITE :           6 at time               155000
READ  :   1 at time               175000
WRITE :           7 at time               175000
WRITE :           8 at time               195000
READ  :   2 at time               203000
WRITE :           9 at time               215000
READ  :   3 at time               231000
WRITE :          10 at time               235000
WRITE :          11 at time               255000
READ  :   4 at time               259000
WRITE :          12 at time               275000
READ  :   5 at time               287000
WRITE :          13 at time               295000
READ  :   6 at time               315000
WRITE :          14 at time               315000
WRITE :          15 at time               335000
READ  :   7 at time               343000
WRITE :          16 at time               355000
READ  :   8 at time               371000
WRITE :          17 at time               375000
WRITE :          18 at time               395000
READ  :   9 at time               399000
WRITE :          19 at time               415000
READ  :  10 at time               427000
READ  :  11 at time               455000
READ  :  12 at time               483000
READ  :  13 at time               511000
READ  :  14 at time               539000
READ  :  15 at time               567000
READ  :  16 at time               595000
READ  :  17 at time               623000
READ  :  18 at time               651000
READ  :  19 at time               679000
$finish called at time : 1 us : File "C:/Users/Theje/OneDrive/Documents/VLSI/Projects/Asynchronous_FIFO/Asynchronous_FIFO.srcs/sim_1/new/tbfifo.v" Line 153
